,title
109,Taxi Driver (1976)
110,Rumble in the Bronx (Hont faan kui) (1995)
111,Before and After (1996)
112,Margaret's Museum (1995)
113,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
114,Anne Frank Remembered (1995)
115,"Young Poisoner's Handbook, The (1995)"
116,If Lucy Fell (1996)
117,"Steal Big, Steal Little (1995)"
118,Race the Sun (1996)
119,"Boys of St. Vincent, The (1992)"
120,Boomerang (1992)
121,Chungking Express (Chung Hing sam lam) (1994)
122,"Star Maker, The (Uomo delle stelle, L') (1995)"
123,Flirting With Disaster (1996)
124,"NeverEnding Story III, The (1994)"
125,"Silences of the Palace, The (Saimt el Qusur) (1994)"
126,Jupiter's Wife (1994)
127,Pie in the Sky (1996)
128,Angela (1995)
129,Frankie Starlight (1995)
130,Jade (1995)
131,Nueba Yol (1995)
132,Sonic Outlaws (1995)
133,Down Periscope (1996)
134,From the Journals of Jean Seberg (1995)
135,Man of the Year (1995)
136,"Neon Bible, The (1995)"
137,Target (1995)
138,Up Close and Personal (1996)
139,"Birdcage, The (1996)"
140,Shadows (Cienie) (1988)
141,Gospa (1995)
142,"Brothers McMullen, The (1995)"
143,Bad Boys (1995)
144,"Amazing Panda Adventure, The (1995)"
145,"Basketball Diaries, The (1995)"
146,"Awfully Big Adventure, An (1995)"
147,Amateur (1994)
148,Apollo 13 (1995)
149,Rob Roy (1995)
150,"Addiction, The (1995)"
151,Batman Forever (1995)
152,Beauty of the Day (Belle de jour) (1967)
153,Beyond Rangoon (1995)
154,Blue in the Face (1995)
155,Canadian Bacon (1995)
156,Casper (1995)
157,Clockers (1995)
158,Congo (1995)
159,Crimson Tide (1995)
160,Crumb (1994)
161,Desperado (1995)
162,Devil in a Blue Dress (1995)
163,Die Hard: With a Vengeance (1995)
164,"Doom Generation, The (1995)"
165,Feast of July (1995)
166,First Knight (1995)
167,Free Willy 2: The Adventure Home (1995)
168,Hackers (1995)
169,Jeffrey (1995)
170,Johnny Mnemonic (1995)
171,Judge Dredd (1995)
172,Jury Duty (1995)
173,Kids (1995)
174,Living in Oblivion (1995)
175,Lord of Illusions (1995)
176,Love & Human Remains (1993)
177,Mad Love (1995)
178,Mallrats (1995)
179,Mighty Morphin Power Rangers: The Movie (1995)
180,Moonlight and Valentino (1995)
181,Mute Witness (1994)
182,Nadja (1994)
183,"Net, The (1995)"
184,Nine Months (1995)
185,Party Girl (1995)
186,"Prophecy, The (1995)"
187,Reckless (1995)
188,Safe (1995)
189,"Scarlet Letter, The (1995)"
190,The Show (1995)
191,Showgirls (1995)
192,Smoke (1995)
193,Something to Talk About (1995)
194,Species (1995)
195,"Stars Fell on Henrietta, The (1995)"
196,Strange Days (1995)
197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
198,"Tie That Binds, The (1995)"
199,Three Wishes (1995)
200,Total Eclipse (1995)
201,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
202,Under Siege 2: Dark Territory (1995)
203,Unstrung Heroes (1995)
204,Unzipped (1995)
205,"Walk in the Clouds, A (1995)"
206,Waterworld (1995)
207,White Man's Burden (1995)
208,Wild Bill (1995)
209,"Browning Version, The (1994)"
210,Bushwhacked (1995)
211,Burnt by the Sun (Utomlyonnye solntsem) (1994)
212,Before the Rain (Pred dozhdot) (1994)
213,Before Sunrise (1995)
214,Billy Madison (1995)
215,"Babysitter, The (1995)"
216,Boys on the Side (1995)
217,"Cure, The (1995)"
218,Castle Freak (1995)
219,Circle of Friends (1995)
220,Clerks (1994)
221,Don Juan DeMarco (1995)
222,Disclosure (1994)
223,Dream Man (1995)
224,Drop Zone (1994)
225,Destiny Turns on the Radio (1995)
226,Death and the Maiden (1994)
227,Dolores Claiborne (1995)
228,Dumb & Dumber (Dumb and Dumber) (1994)
229,Eat Drink Man Woman (Yin shi nan nu) (1994)
230,Exotica (1994)
231,Exit to Eden (1994)
232,Ed Wood (1994)
233,French Kiss (1995)
234,Forget Paris (1995)
235,Far From Home: The Adventures of Yellow Dog (1995)
236,"Goofy Movie, A (1995)"
237,Hideaway (1995)
238,Fluke (1995)
239,Farinelli: il castrato (1994)
240,Gordy (1995)
241,Gumby: The Movie (1995)
242,The Glass Shield (1994)
243,Hoop Dreams (1994)
244,Heavenly Creatures (1994)
245,Houseguest (1994)
246,Immortal Beloved (1994)
247,Heavyweights (Heavy Weights) (1995)
248,"Hunted, The (1995)"
249,I.Q. (1994)
250,Interview with the Vampire: The Vampire Chronicles (1994)
251,Jefferson in Paris (1995)
252,"Jerky Boys, The (1995)"
253,Junior (1994)
254,Just Cause (1995)
255,"Kid in King Arthur's Court, A (1995)"
256,Kiss of Death (1995)
257,Star Wars: Episode IV - A New Hope (1977)
258,Little Women (1994)
259,"Little Princess, A (1995)"
260,Ladybird Ladybird (1994)
261,"Enfer, L' (1994)"
262,Like Water for Chocolate (Como agua para chocolate) (1992)
263,Legends of the Fall (1994)
264,Major Payne (1995)
265,Little Odessa (1994)
266,My Crazy Life (Mi vida loca) (1993)
267,Love Affair (1994)
268,Losing Isaiah (1995)
269,"Madness of King George, The (1994)"
270,Mary Shelley's Frankenstein (Frankenstein) (1994)
271,Man of the House (1995)
272,Mixed Nuts (1994)
273,Milk Money (1994)
274,Miracle on 34th Street (1994)
275,Miami Rhapsody (1995)
276,My Family (1995)
277,Murder in the First (1995)
278,Nobody's Fool (1994)
279,Nell (1994)
280,New Jersey Drive (1995)
281,New York Cop (Nyû Yôku no koppu) (1993)
282,Beyond Bedlam (1993)
283,Nemesis 2: Nebula (1995)
284,Nina Takes a Lover (1994)
285,Natural Born Killers (1994)
286,Only You (1994)
287,Once Were Warriors (1994)
288,Outbreak (1995)
289,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
290,"Perez Family, The (1995)"
291,"Pyromaniac's Love Story, A (1995)"
292,Pulp Fiction (1994)
293,Panther (1995)
294,Pushing Hands (Tui shou) (1992)
295,Priest (1994)
296,Quiz Show (1994)
297,Picture Bride (Bijo photo) (1994)
298,"Queen Margot (Reine Margot, La) (1994)"
299,"Quick and the Dead, The (1995)"
300,Roommates (1995)
301,Ready to Wear (Pret-A-Porter) (1994)
302,Three Colors: Red (Trois couleurs: Rouge) (1994)
303,Three Colors: Blue (Trois couleurs: Bleu) (1993)
304,Three Colors: White (Trzy kolory: Bialy) (1994)
305,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
306,Rent-a-Kid (1995)
307,Relative Fear (1994)
308,Stuart Saves His Family (1995)
309,"Swan Princess, The (1994)"
310,"Secret of Roan Inish, The (1994)"
311,"Specialist, The (1994)"
312,Stargate (1994)
313,"Santa Clause, The (1994)"
314,"Shawshank Redemption, The (1994)"
315,Shallow Grave (1994)
316,Suture (1993)
317,Strawberry and Chocolate (Fresa y chocolate) (1993)
318,Swimming with Sharks (1995)
319,"Sum of Us, The (1994)"
320,National Lampoon's Senior Trip (1995)
321,To Live (Huozhe) (1994)
322,Tank Girl (1995)
323,Tales from the Crypt Presents: Demon Knight (1995)
324,Star Trek: Generations (1994)
325,Tales from the Hood (1995)
326,Tom & Viv (1994)
327,Village of the Damned (1995)
328,Tommy Boy (1995)
329,Vanya on 42nd Street (1994)
330,Underneath (1995)
331,"Walking Dead, The (1995)"
332,What's Eating Gilbert Grape (1993)
333,Virtuosity (1995)
334,While You Were Sleeping (1995)
335,"War, The (1994)"
336,Double Happiness (1994)
337,Muriel's Wedding (1994)
338,"Baby-Sitters Club, The (1995)"
339,Ace Ventura: Pet Detective (1994)
340,"Adventures of Priscilla, Queen of the Desert, The (1994)"
341,Backbeat (1993)
342,Bitter Moon (1992)
343,Bullets Over Broadway (1994)
344,Clear and Present Danger (1994)
345,"Client, The (1994)"
346,"Corrina, Corrina (1994)"
347,Crooklyn (1994)
348,"Crow, The (1994)"
349,Cobb (1994)
350,"Flintstones, The (1994)"
351,Forrest Gump (1994)
352,Four Weddings and a Funeral (1994)
353,Higher Learning (1995)
354,I Like It Like That (1994)
355,I Love Trouble (1994)
356,It Could Happen to You (1994)
357,"Jungle Book, The (1994)"
358,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
359,"Lion King, The (1994)"
360,Little Buddha (1993)
361,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
362,"Mask, The (1994)"
363,Maverick (1994)
364,Mrs. Parker and the Vicious Circle (1994)
365,Naked Gun 33 1/3: The Final Insult (1994)
366,"Paper, The (1994)"
367,Reality Bites (1994)
368,Red Rock West (1992)
369,Richie Rich (1994)
370,Safe Passage (1994)
371,"River Wild, The (1994)"
372,Speed (1994)
373,Speechless (1994)
374,Timecop (1994)
375,True Lies (1994)
376,When a Man Loves a Woman (1994)
377,Wolf (1994)
378,Wyatt Earp (1994)
379,Bad Company (1995)
380,"Man of No Importance, A (1994)"
381,S.F.W. (1994)
382,"Low Down Dirty Shame, A (1994)"
383,Boys Life (1995)
384,"Colonel Chabert, Le (1994)"
385,Faster Pussycat! Kill! Kill! (1965)
386,Jason's Lyric (1994)
387,"Secret Adventures of Tom Thumb, The (1993)"
388,Street Fighter (1994)
389,Coldblooded (1995)
390,Desert Winds (1995)
391,Fall Time (1995)
392,"Fear, The (1995)"
393,Frank and Ollie (1995)
394,Girl in the Cadillac (1995)
395,Homage (1995)
396,Mirage (1995)
397,Open Season (1996)
398,Two Crimes (Dos crímenes) (1995)
399,Brother Minister: The Assassination of Malcolm X (1994)
400,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
401,Federal Hill (1994)
402,In the Mouth of Madness (1995)
403,8 Seconds (1994)
404,Above the Rim (1994)
405,Addams Family Values (1993)
406,Martin Lawrence: You So Crazy (1994)
407,"Age of Innocence, The (1993)"
408,Airheads (1994)
409,"Air Up There, The (1994)"
410,Another Stakeout (1993)
411,Bad Girls (1994)
412,Barcelona (1994)
413,Being Human (1993)
414,"Beverly Hillbillies, The (1993)"
415,Beverly Hills Cop III (1994)
416,Black Beauty (1994)
417,Blink (1994)
418,Blown Away (1994)
419,Blue Chips (1994)
420,Blue Sky (1994)
421,Body Snatchers (1993)
422,Boxing Helena (1993)
423,"Bronx Tale, A (1993)"
424,Cabin Boy (1994)
425,Calendar Girl (1993)
426,Carlito's Way (1993)
427,City Slickers II: The Legend of Curly's Gold (1994)
428,Clean Slate (1994)
429,Cliffhanger (1993)
430,Coneheads (1993)
431,Color of Night (1994)
432,Cops and Robbersons (1994)
433,"Cowboy Way, The (1994)"
434,Dangerous Game (1993)
435,Dave (1993)
436,Dazed and Confused (1993)
437,Demolition Man (1993)
438,"Endless Summer 2, The (1994)"
439,Even Cowgirls Get the Blues (1993)
440,Fatal Instinct (1993)
441,Farewell My Concubine (Ba wang bie ji) (1993)
442,"Favor, The (1994)"
443,Fearless (1993)
444,Fear of a Black Hat (1994)
445,With Honors (1994)
446,Flesh and Bone (1993)
447,Widows' Peak (1994)
448,For Love or Money (1993)
449,"Firm, The (1993)"
450,Free Willy (1993)
451,Fresh (1994)
452,"Fugitive, The (1993)"
453,Geronimo: An American Legend (1993)
454,"Getaway, The (1994)"
455,Getting Even with Dad (1994)
456,Go Fish (1994)
457,"Good Man in Africa, A (1994)"
458,Guilty as Sin (1993)
459,Hard Target (1993)
460,Heaven & Earth (1993)
461,Hot Shots! Part Deux (1993)
462,Live Nude Girls (1995)
463,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
464,"House of the Spirits, The (1993)"
465,House Party 3 (1994)
466,"Hudsucker Proxy, The (1994)"
467,I'll Do Anything (1994)
468,In the Army Now (1994)
469,In the Line of Fire (1993)
470,In the Name of the Father (1993)
471,"Inkwell, The (1994)"
472,What's Love Got to Do with It? (1993)
473,Jimmy Hollywood (1994)
474,Judgment Night (1993)
475,Jurassic Park (1993)
476,Kalifornia (1993)
477,Killing Zoe (1994)
478,King of the Hill (1993)
479,Lassie (1994)
480,Last Action Hero (1993)
481,Life with Mikey (1993)
482,Lightning Jack (1994)
483,M. Butterfly (1993)
484,Made in America (1993)
485,Malice (1993)
486,"Man Without a Face, The (1993)"
487,Manhattan Murder Mystery (1993)
488,Menace II Society (1993)
489,Executive Decision (1996)
490,In the Realm of the Senses (Ai no corrida) (1976)
491,What Happened Was... (1994)
492,Much Ado About Nothing (1993)
493,Mr. Jones (1993)
494,Mr. Wonderful (1993)
495,Mrs. Doubtfire (1993)
496,Naked (1993)
497,"Next Karate Kid, The (1994)"
498,"New Age, The (1994)"
499,No Escape (1994)
500,North (1994)
501,Orlando (1992)
502,"Perfect World, A (1993)"
503,Philadelphia (1993)
504,"Piano, The (1993)"
505,Poetic Justice (1993)
506,"Program, The (1993)"
507,"Puppet Masters, The (1994)"
508,Radioland Murders (1994)
509,"Ref, The (1994)"
510,"Remains of the Day, The (1993)"
511,Renaissance Man (1994)
512,Rising Sun (1993)
513,"Road to Wellville, The (1994)"
514,RoboCop 3 (1993)
515,Robin Hood: Men in Tights (1993)
516,Romeo Is Bleeding (1993)
517,Romper Stomper (1992)
518,Ruby in Paradise (1993)
519,Rudy (1993)
520,"Saint of Fort Washington, The (1993)"
521,"Savage Nights (Nuits fauves, Les) (1992)"
522,Schindler's List (1993)
523,"Scout, The (1994)"
524,Searching for Bobby Fischer (1993)
525,Second Best (1994)
526,"Secret Garden, The (1993)"
527,Serial Mom (1994)
528,"Shadow, The (1994)"
529,Shadowlands (1993)
530,Short Cuts (1993)
531,"Simple Twist of Fate, A (1994)"
532,Sirens (1994)
533,Six Degrees of Separation (1993)
534,Sleepless in Seattle (1993)
535,Sliver (1993)
536,Blade Runner (1982)
537,Son in Law (1993)
538,So I Married an Axe Murderer (1993)
539,Striking Distance (1993)
540,Super Mario Bros. (1993)
541,Surviving the Game (1994)
542,Terminal Velocity (1994)
543,Thirty-Two Short Films About Glenn Gould (1993)
544,Threesome (1994)
545,"Nightmare Before Christmas, The (1993)"
546,"Three Musketeers, The (1993)"
547,Tombstone (1993)
548,Trial by Jury (1994)
549,True Romance (1993)
550,"War Room, The (1993)"
551,"Pagemaster, The (1994)"
552,"Paris, France (1993)"
553,"Beans of Egypt, Maine, The (1994)"
554,Killer (Bulletproof Heart) (1994)
555,Welcome to the Dollhouse (1995)
556,Germinal (1993)
557,Chasers (1994)
558,Cronos (1993)
559,Naked in New York (1994)
560,Kika (1993)
561,Bhaji on the Beach (1993)
562,Little Big League (1994)
563,"Slingshot, The (Kådisbellan) (1993)"
564,"Wedding Gift, The (1994)"
565,Foreign Student (1994)
566,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
567,Spanking the Monkey (1994)
568,"Little Rascals, The (1994)"
569,Fausto (1993)
570,Andre (1994)
571,"Escort, The (Scorta, La) (1993)"
572,Princess Caraboo (1994)
573,"Celluloid Closet, The (1995)"
574,Métisse (Café au Lait) (1993)
575,Dear Diary (Caro Diario) (1994)
576,I Don't Want to Talk About It (De eso no se habla) (1993)
577,"Brady Bunch Movie, The (1995)"
578,Home Alone (1990)
579,Ghost (1990)
580,Aladdin (1992)
581,Terminator 2: Judgment Day (1991)
582,Dances with Wolves (1990)
583,Tough and Deadly (1995)
584,Batman (1989)
585,"Silence of the Lambs, The (1991)"
586,Snow White and the Seven Dwarfs (1937)
587,Beauty and the Beast (1991)
588,Pinocchio (1940)
589,Pretty Woman (1990)
590,Window to Paris (Okno v Parizh) (1994)
591,"Wild Bunch, The (1969)"
592,Love and a .45 (1994)
593,"Wooden Man's Bride, The (Yan shen) (1994)"
594,"Great Day in Harlem, A (1994)"
595,"Bye Bye, Love (1995)"
596,Criminals (1996)
597,One Fine Day (1996)
598,Candyman: Farewell to the Flesh (1995)
599,Century (1993)
600,Fargo (1996)
601,Homeward Bound II: Lost in San Francisco (1996)
602,Heavy Metal (1981)
603,Hellraiser: Bloodline (1996)
604,"Pallbearer, The (1996)"
605,Jane Eyre (1996)
606,Loaded (1994)
607,Bread and Chocolate (Pane e cioccolata) (1973)
608,"Aristocats, The (1970)"
609,"Flower of My Secret, The (La flor de mi secreto) (1995)"
610,Two Much (1995)
611,Ed (1996)
612,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)
613,My Favorite Season (1993)
614,"Modern Affair, A (1995)"
615,Asfour Stah (1990)
616,"Thin Line Between Love and Hate, A (1996)"
617,"Last Supper, The (1995)"
618,Primal Fear (1996)
619,Rude (1995)
620,Carried Away (1996)
621,All Dogs Go to Heaven 2 (1996)
622,Land and Freedom (Tierra y libertad) (1995)
623,Denise Calls Up (1995)
624,Theodore Rex (1995)
625,"Family Thing, A (1996)"
626,Frisk (1995)
627,Sgt. Bilko (1996)
628,Jack and Sarah (1995)
629,Girl 6 (1996)
630,Diabolique (1996)
631,"Little Indian, Big City (Un indien dans la ville) (1994)"
632,Roula (1995)
633,Peanuts - Die Bank zahlt alles (1996)
634,Happy Weekend (1996)
635,Nelly & Monsieur Arnaud (1995)
636,Courage Under Fire (1996)
637,Mission: Impossible (1996)
638,Cold Fever (Á köldum klaka) (1995)
639,Moll Flanders (1996)
640,"Superweib, Das (1996)"
641,"301, 302 (301/302) (1995)"
642,Dragonheart (1996)
643,And Nobody Weeps for Me (Und keiner weint mir nach) (1996)
644,My Mother's Courage (Mutters Courage) (1995)
645,Eddie (1996)
646,Yankee Zulu (1994)
647,Billy's Holiday (1995)
648,Purple Noon (Plein soleil) (1960)
649,August (1996)
650,James and the Giant Peach (1996)
651,Fear (1996)
652,Kids in the Hall: Brain Candy (1996)
653,Faithful (1996)
654,Underground (1995)
655,All Things Fair (Lust och fägring stor) (1995)
656,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
657,Song of the Little Road (Pather Panchali) (1955)
658,"World of Apu, The (Apur Sansar) (1959)"
659,Mystery Science Theater 3000: The Movie (1996)
660,Tarantella (1995)
661,Space Jam (1996)
662,Barbarella (1968)
663,Hostile Intentions (1994)
664,They Bite (1996)
665,Some Folks Call It a Sling Blade (1993)
666,"Run of the Country, The (1995)"
667,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
668,Coup de torchon (Clean Slate) (1981)
669,Tigrero: A Film That Was Never Made (1994)
670,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
671,Windows (1980)
672,It's My Party (1996)
673,Country Life (1994)
674,Operation Dumbo Drop (1995)
675,"Promise, The (Versprechen, Das) (1995)"
676,Mrs. Winterbourne (1996)
677,Solo (1996)
678,Under the Domim Tree (Etz Hadomim Tafus) (1994)
679,"Substitute, The (1996)"
680,True Crime (1996)
681,Butterfly Kiss (1995)
682,Feeling Minnesota (1996)
683,Delta of Venus (1995)
684,To Cross the Rubicon (1991)
685,Angus (1995)
686,Daens (1992)
687,Faces (1968)
688,Boys (1996)
689,"Quest, The (1996)"
690,Cosi (1996)
691,Sunset Park (1996)
692,Mulholland Falls (1996)
693,"Truth About Cats & Dogs, The (1996)"
694,Oliver & Company (1988)
695,Celtic Pride (1996)
696,Flipper (1996)
697,Captives (1994)
698,Of Love and Shadows (1994)
699,Dead Man (1995)
700,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
701,Switchblade Sisters (1975)
702,Mouth to Mouth (Boca a boca) (1995)
703,"Visitors, The (Visiteurs, Les) (1993)"
704,Multiplicity (1996)
705,Wallace & Gromit: The Best of Aardman Animation (1996)
706,Halfmoon (Paul Bowles - Halbmond) (1995)
707,"Haunted World of Edward D. Wood Jr., The (1996)"
708,Two Friends (1986)
709,"Craft, The (1996)"
710,"Great White Hype, The (1996)"
711,Last Dance (1996)
712,War Stories (1995)
713,Cold Comfort Farm (1995)
714,"Institute Benjamenta, or This Dream People Call Human Life (1995)"
715,Low Life (1994)
716,Heaven's Prisoners (1996)
717,Original Gangstas (1996)
718,"Rock, The (1996)"
719,Getting Away With Murder (1996)
720,Cemetery Man (Dellamorte Dellamore) (1994)
721,Twister (1996)
722,Barb Wire (1996)
723,"Garçu, Le (1995)"
724,Honey Moon (Honigmond) (1996)
725,Ghost in the Shell (Kôkaku kidôtai) (1995)
726,Thinner (1996)
727,Spy Hard (1996)
728,Brothers in Trouble (1995)
729,Wallace & Gromit: A Close Shave (1995)
730,Force of Evil (1948)
731,"Stupids, The (1996)"
732,"Arrival, The (1996)"
733,"Man from Down Under, The (1943)"
734,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
735,Careful (1992)
736,Vermont Is For Lovers (1992)
737,"Month by the Lake, A (1995)"
738,Gold Diggers: The Secret of Bear Mountain (1995)
739,Kim (1950)
740,Carmen Miranda: Bananas Is My Business (1994)
741,Ashes of Time (Dung che sai duk) (1994)
742,"Jar, The (Khomreh) (1992)"
743,Maya Lin: A Strong Clear Vision (1994)
744,Stalingrad (1993)
745,"Phantom, The (1996)"
746,Striptease (1996)
747,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)"
748,Heavy (1995)
749,Jack (1996)
750,I Shot Andy Warhol (1996)
751,"Grass Harp, The (1995)"
752,Someone Else's America (1995)
753,Marlene Dietrich: Shadow and Light (1996)
754,Costa Brava (1946)
755,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)"
756,Quartier Mozart (1992)
757,Touki Bouki (1973)
758,Wend Kuuni (a.k.a. God's Gift) (1982)
759,Spirits of the Dead (1968)
760,Babyfever (1994)
761,Pharaoh's Army (1995)
762,Trainspotting (1996)
763,'Til There Was You (1997)
764,Independence Day (a.k.a. ID4) (1996)
765,Stealing Beauty (1996)
766,"Fan, The (1996)"
767,"Hunchback of Notre Dame, The (1996)"
768,"Cable Guy, The (1996)"
769,Kingpin (1996)
770,Eraser (1996)
771,"Gate of Heavenly Peace, The (1995)"
772,"Nutty Professor, The (1996)"
773,"I, the Worst of All (Yo, la peor de todas) (1990)"
774,"Unforgettable Summer, An (Un été inoubliable) (1994)"
775,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
776,"Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)"
777,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
778,Midnight Dancers (Sibak) (1994)
779,Somebody to Love (1994)
780,"Very Natural Thing, A (1974)"
781,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
782,Daylight (1996)
783,"Frighteners, The (1996)"
784,Lone Star (1996)
785,Harriet the Spy (1996)
786,Phenomenon (1996)
787,Walking and Talking (1996)
788,She's the One (1996)
789,"Time to Kill, A (1996)"
790,American Buffalo (1996)
791,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)"
792,Alaska (1996)
793,Fled (1996)
794,Kazaam (1996)
795,Magic Hunter (Büvös vadász) (1994)
796,Larger Than Life (1996)
797,"Boy Called Hate, A (1995)"
798,Power 98 (1996)
799,Two Deaths (1995)
800,"Very Brady Sequel, A (1996)"
801,Stefano Quantestorie (1993)
802,"Death in the Garden (Mort en ce jardin, La) (1956)"
803,"Crude Oasis, The (1995)"
804,Hedd Wyn (1992)
805,"Collector, The (La collectionneuse) (1967)"
806,Kaspar Hauser (1993)
807,Regular Guys (Echte Kerle) (1996)
808,Women Robbers (Diebinnen) (1995)
809,"Convent, The (O Convento) (1995)"
810,"Adventures of Pinocchio, The (1996)"
811,Joe's Apartment (1996)
812,"First Wives Club, The (1996)"
813,Stonewall (1995)
814,Ransom (1996)
815,High School High (1996)
816,Phat Beach (1996)
817,Foxfire (1996)
818,Chain Reaction (1996)
819,Matilda (1996)
820,Emma (1996)
821,"Crow: City of Angels, The (1996)"
822,House Arrest (1996)
823,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
824,Tales from the Crypt Presents: Bordello of Blood (1996)
825,Lotto Land (1995)
826,"Story of Xinghua, The (Xinghua san yue tian) (1994)"
827,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
828,Flirt (1995)
829,"Big Squeeze, The (1996)"
830,"Spitfire Grill, The (1996)"
831,Escape from L.A. (1996)
832,Cyclo (Xich lo) (1995)
833,Basquiat (1996)
834,Tin Cup (1996)
835,Dingo (1991)
836,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
837,Every Other Weekend (Un week-end sur deux) (1990)
838,Mille bolle blu (1993)
839,Crows and Sparrows (Wuya yu maque) (1949)
840,"Godfather, The (1972)"
841,"Hippie Revolution, The (1996)"
